ra,nome,ano_referencia,fase,turma,idade,genero,ano_ingresso,instituicao_ensino,pedra,inde,ian,ida,ieg,iaa,ips,ipp,ipv,atingiu_pv,defasagem,fase_ideal,matematica,portugues,ingles,escola,status_ativo
RA-1002,ALUNO-1002,2022,4.0,H,,,2020.0,Escola Pública,Ametista,7.562874816059757,5.0,8.277777777777777,7.515756302521009,8.75001,6.875,7.5,7.958335,Não,,,8.0,7.333333333333333,9.5,,
RA-1002,Aluno-1002,2023,ALFA,ALFA U - G2/G3,9.0,Feminino,2023.0,Pública,Ametista,7.9012,5.0,7.0,9.7,9.0,7.52,6.25,8.92,,-1.0,,7.0,7.0,,,
RA-1002,Aluno-1002,2024,ALFA,ALFA N - G2/G3,10.0,Feminino,2023.0,Pública,Ametista,7.967866666700001,5.0,9.25,7.833333333500001,9.002,7.51,7.5,8.25,,-1.0,,10.0,8.5,,EM Cecilia Cristina de Oliveira Rodrigues,Cursando
RA-1003,ALUNO-1003,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1003,ALUNO-1003,2022,,,,,,,,,,,,,,,,,,,,,,,
RA-1003,Aluno-1003,2023,ALFA,ALFA V - G0/G1,8.0,Masculino,2023.0,Pública,Ametista,7.6522,10.0,4.0,8.5,9.0,7.52,7.5,8.75,,0.0,,8.0,0.0,,,
RA-1003,Aluno-1003,2024,ALFA,ALFA J - G2/G3,9.0,Masculino,2023.0,Pública,Ametista,7.627588888900001,5.0,8.25,8.6944444445,8.002,7.51,6.875,7.5,,-1.0,,10.0,6.5,,EM Maria Ignez Concelles Irma Ines,Cursando
RA-1004,ALUNO-1004,2021,0.0,I,,,,Escola Pública,Ametista,7.506,5.0,6.4,10.0,10.0,6.9,7.8,6.3,Não,-2.0,,,,,,
RA-1004,ALUNO-1004,2022,0.0,L,,,2020.0,Escola Pública,Topázio,8.184503595776773,5.0,8.666666666666668,9.547511312217194,10.00002,7.5,6.25,8.33333,Não,,,8.833333333333334,8.5,,,
RA-1004,Aluno-1004,2023,ALFA,ALFA V - G0/G1,8.0,Feminino,2023.0,Pública,Topázio,8.3137,10.0,7.9,9.6,9.0,7.52,6.875,7.42,,0.0,,6.5,9.2,,,
RA-1004,Aluno-1004,2024,ALFA,ALFA J - G2/G3,9.0,Feminino,2023.0,Pública,Ametista,7.801200000000001,5.0,7.5,9.25,9.502,7.51,7.5,7.5,,-1.0,,7.5,7.5,,EM Pedro Antonio de Almeida,Cursando
RA-1005,ALUNO-1005,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1005,ALUNO-1005,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1005,ALUNO-1005,2022,1.0,F,,,2022.0,,Ametista,7.050000666666667,5.0,6.5,9.833333333333334,8.500020000000001,4.375,5.625,7.16666,Não,,,8.0,5.0,,,
RA-1005,Aluno-1005,2023,ALFA,ALFA V - G0/G1,8.0,Masculino,2023.0,Pública,Topázio,8.4252,10.0,8.8,7.9,9.5,7.52,7.5,8.165,,0.0,,8.4,9.2,,,
RA-1006,ALUNO-1006,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1006,ALUNO-1006,2022,,,,,,,,,,,,,,,,,,,,,,,
RA-1006,Aluno-1006,2023,ALFA,ALFA V - G0/G1,8.0,Feminino,2023.0,Pública,Topázio,8.5922,10.0,8.7,9.3,9.0,7.52,7.5,8.0,,0.0,,8.7,8.6,,,
RA-1006,Aluno-1006,2024,ALFA,ALFA J - G2/G3,9.0,Feminino,2023.0,Pública,Ametista,7.040088888900001,5.0,5.0,8.4444444445,8.502,7.51,7.5,7.5,,-1.0,,5.0,5.0,,EM Pedro Antonio de Almeida,Cursando
RA-1007,ALUNO-1007,2021,2.0,P,,,,Escola Pública,Quartzo,3.752,5.0,0.8,1.7,0.0,7.5,7.2,6.5,Não,-1.0,,,,,,
RA-1007,ALUNO-1007,2022,,,,,,Escola Pública,,,,,,,,,,,,,,,,,
RA-1007,Aluno-1007,2023,ALFA,ALFA V - G0/G1,,Masculino,2023.0,Pública,Topázio,8.0782,10.0,8.3,7.4,9.0,7.52,7.5,7.68,,0.0,,8.1,8.5,,,
RA-1008,ALUNO-1008,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1008,ALUNO-1008,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1008,ALUNO-1008,2022,0.0,R,,,2022.0,,Ametista,7.259040128205128,10.0,6.299999999999999,6.641025641025641,10.00002,6.25,5.625,7.416665,Não,,,7.133333333333333,5.466666666666666,,,
RA-1008,Aluno-1008,2023,ALFA,ALFA V - G0/G1,8.0,Masculino,2023.0,Pública,Topázio,8.13595,10.0,8.4,8.6,9.0,7.52,5.9375,7.5,,0.0,,7.5,9.2,,,
RA-1008,Aluno-1008,2024,ALFA,ALFA I - G2/G3,9.0,Masculino,2023.0,Pública,Agata,6.8667414438000005,5.0,7.0,6.483957219,7.002,7.51,7.1875,7.5,,-1.0,,6.5,7.5,,EE Joaquim Mendes Feliz,Cursando
